Manufacturer,Model,Code,Type,Engine Type
SOCATA,Rallye 235,RALL,Fixed-Wing,Piston
SOCATA,Rallye Club,RALL,Fixed-Wing,Piston
SOCATA,Rallye Commodore,RALL,Fixed-Wing,Piston
SOCATA,Rallye Minerva,RALL,Fixed-Wing,Piston
SOCATA,ST-10 Diplomate,ST10,Fixed-Wing,Piston
SOCATA,ST-10 Provence,ST10,Fixed-Wing,Piston
SOCATA,ST-10 Super Horizon,ST10,Fixed-Wing,Piston
SOCATA,Super Horizon,ST10,Fixed-Wing,Piston
SOCATA,Tampico,TAMP,Fixed-Wing,Piston
SOCATA,Tangara,GA7,Fixed-Wing,Piston
SOCATA,TB-9 Tampico,TAMP,Fixed-Wing,Piston
SOCATA,TB-10 Tobago,TOBA,Fixed-Wing,Piston
SOCATA,TB-20 Trinidad,TB20,Fixed-Wing,Piston
SOCATA,TB-20 Pashosh,TB20,Fixed-Wing,Piston
SOCATA,TB-30 Epsilon,TB30,Fixed-Wing,Piston
SOCATA,TB-31 Omega,TB31,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TB-200 Tobago,TOBA,Fixed-Wing,Piston
SOCATA,TB-360 Tangara,GA7,Fixed-Wing,Piston
SOCATA,TBM-850,TBM8,Fixed-Wing,Turboprop/Turboshaft
SOCATA,Tobago,TOBA,Fixed-Wing,Piston
SOCATA,Trinidad,TB20,Fixed-Wing,Piston
SOCATA,Pashosh,TB20,Fixed-Wing,Piston
SOCATA,TBM-930,TBM9,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-900,TBM9,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TB-21 Trinidad TC,TB21,Fixed-Wing,Piston
SOCATA,Trinidad TC,TB21,Fixed-Wing,Piston
SOCATA,TBM-700A,TBM7,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-700B,TBM7,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-700C,TBM7,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-700N (TBM-850),TBM8,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-700N (TBM-900),TBM9,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-700N (TBM-930),TBM9,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-910,TBM9,Fixed-Wing,Turboprop/Turboshaft
SOCATA,TBM-700N (TBM-910),TBM9,Fixed-Wing,Turboprop/Turboshaft
SOKO,Jastreb,JAST,Fixed-Wing,Jet
SOKO,Kraguj,KRAG,Fixed-Wing,Piston
SOKO,N-60 Galeb,G2GL,Fixed-Wing,Jet
SOKO,N-62 Super Galeb,G4SG,Fixed-Wing,Jet
SOKO,NJ-21 Jastreb,JAST,Fixed-Wing,Jet
SOKO,P-2 Kraguj,KRAG,Fixed-Wing,Piston
SOKO,Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,RJ-1 Jastreb,JAST,Fixed-Wing,Jet
SOKO,SA-341 Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,SA-342 Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,Super Galeb,G4SG,Fixed-Wing,Jet
SOKO,TJ-1 Jastreb,JAST,Fixed-Wing,Jet
SOKO,TJ-21 Jastreb,JAST,Fixed-Wing,Jet
SOKO,2,SOK2,Fixed-Wing,Piston
SOKO,G-2 Galeb,G2GL,Fixed-Wing,Jet
SOKO,G-4 Super Galeb,G4SG,Fixed-Wing,Jet
SOKO,Galeb,G2GL,Fixed-Wing,Jet
SOKO,H-45 Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,HN-42 Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,HN-45 Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,HO-42 Partizan,GAZL,Helicopter,Turboprop/Turboshaft
SOKO,IJ-21 Jastreb,JAST,Fixed-Wing,Jet
SOKO,J-1 Jastreb,JAST,Fixed-Wing,Jet
SOKO,J-20 Kraguj,KRAG,Fixed-Wing,Piston
SOKO,J-21 Jastreb,JAST,Fixed-Wing,Jet
SOKO-CNIAR,Orao,YURO,Fixed-Wing,Jet
SOKO-CNIAR,J-22 Orao,YURO,Fixed-Wing,Jet
SOKO-CNIAR,NJ-22 Orao,YURO,Fixed-Wing,Jet
SOLAR IMPULSE,1,SOL1,Fixed-Wing,Electric
SOLAR IMPULSE,2,SOL2,Fixed-Wing,Electric
SOLOY,208 Dual-Pac Caravan,C08T,Fixed-Wing,Turboprop/Turboshaft
SOLOY,208 Pathfinder 21,C08T,Fixed-Wing,Turboprop/Turboshaft
SOLOY,Bell 47,B47T,Helicopter,Turboprop/Turboshaft
SOLOY,Dual-Pac Caravan,C08T,Fixed-Wing,Turboprop/Turboshaft
SOLOY,Hiller UH-12,H12T,Helicopter,Turboprop/Turboshaft
SOLOY,Pathfinder 21,C08T,Fixed-Wing,Turboprop/Turboshaft
SOLOY,Turbine 206,C06T,Fixed-Wing,Turboprop/Turboshaft
SOLOY,Turbine 207,C07T,Fixed-Wing,Turboprop/Turboshaft
SONACA,S-200,SLG2,Fixed-Wing,Piston
SONACA,S-201,SLG2,Fixed-Wing,Piston
SONACA,S-2,SLG2,Fixed-Wing,Piston
SONEX,Sonex,SONX,Fixed-Wing,Piston
SONEX,Waiex,WAIX,Fixed-Wing,Piston
SONEX,Xenos,XNOS,Fixed-Wing,Piston
SONEX,Onex,ONEX,Fixed-Wing,Piston
SONEX,JSX SubSonex,JSX,Fixed-Wing,Jet
SONEX,SubSonex,JSX,Fixed-Wing,Jet
SOPWITH,Pup,SPUP,Fixed-Wing,Piston
SOPWITH,Pup Replica,SPUP,Fixed-Wing,Piston
SOPWITH,Camel,CAML,Fixed-Wing,Piston
SOPWITH,Camel Replica,CAML,Fixed-Wing,Piston
SOPWITH,Triplane Replica,STRI,Fixed-Wing,Piston
SORRELL,EXP-2,SNS9,Fixed-Wing,Piston
SORRELL,Guppy,SNS2,Fixed-Wing,Piston
SORRELL,Hiperbipe,SNS7,Fixed-Wing,Piston
SORRELL,SNS-2 Guppy,SNS2,Fixed-Wing,Piston
SORRELL,SNS-7 Hiperbipe,SNS7,Fixed-Wing,Piston
SORRELL,SNS-9 EXP-2,SNS9,Fixed-Wing,Piston
SPARTAN,7 Executive,SP7,Fixed-Wing,Piston
SPARTAN,Executive,SP7,Fixed-Wing,Piston
SPARTAN,UC-71 Executive,SP7,Fixed-Wing,Piston
SPECTER,Specter 2,SPC2,Fixed-Wing,Piston
SPECTRUM,Independence,SP33,Fixed-Wing,Jet
SPECTRUM,S-33 Independence,SP33,Fixed-Wing,Jet
SPEEDTWIN,E2E Speedtwin,ST1,Fixed-Wing,Piston
SPEEDTWIN,Speedtwin,ST1,Fixed-Wing,Piston
SPENCER,Air Car,S12,Amphibian,Piston
SPENCER,Air Car Junior,ACJR,Amphibian,Piston
SPENCER,S-12 Air Car,S12,Amphibian,Piston
SPEZIO,DAL-1 Tuholer,DAL1,Fixed-Wing,Piston
SPEZIO,Tuholer,DAL1,Fixed-Wing,Piston
SPORT COPTER,SportCopter 2,SCII,Gyrocopter,Piston
SPORT PERFORMANCE,Panther,PNTH,Fixed-Wing,Piston
SPORT RACER,Sport Racer,SRAC,Fixed-Wing,Piston
SPORTAVIA-PUTZER,Falke,SF25,Fixed-Wing,Piston
SPORTAVIA-PUTZER,Milan,SF31,Fixed-Wing,Piston
SPORTAVIA-PUTZER,RF-4,RF4,Fixed-Wing,Piston
SPORTAVIA-PUTZER,RF-5,RF5,Fixed-Wing,Piston
SPORTAVIA-PUTZER,RF-5 Sperber,RF5,Fixed-Wing,Piston
SPORTAVIA-PUTZER,RS-180 Sportsman,RS18,Fixed-Wing,Piston
SPORTAVIA-PUTZER,SF-25 Falke,SF25,Fixed-Wing,Piston
SPORTAVIA-PUTZER,SFS-31 Milan,SF31,Fixed-Wing,Piston
SPORTAVIA-PUTZER,Sperber,RF5,Fixed-Wing,Piston
SPORTAVIA-PUTZER,Sportsman,RS18,Fixed-Wing,Piston
SPORTINE AVIACIJA,LAK-17AT,LK17,Fixed-Wing,Piston
SPORTINE AVIACIJA,LAK-19T,LK19,Fixed-Wing,Piston
SPORTINE AVIACIJA,LAK-20M,LK20,Fixed-Wing,Piston
SPRATT,107,S107,SeaPlane,Piston
SPRING,Sprint,WS22,Fixed-Wing,Piston
SPRING,WS-202 Sprint,WS22,Fixed-Wing,Piston
SREYA,Envoy,SA6E,Fixed-Wing,Turboprop/Turboshaft
SREYA,SA-6 Envoy,SA6E,Fixed-Wing,Turboprop/Turboshaft
SSH,Jungmann,BU31,Fixed-Wing,Piston
SSH,T-131 Jungmann,BU31,Fixed-Wing,Piston
ST. CROIX,Pietenpol Aerial,PARL,Fixed-Wing,Piston
ST. CROIX,Pietenpol Aircamper,CAMP,Fixed-Wing,Piston
ST. CROIX,Sopwith Triplane,STRI,Fixed-Wing,Piston
ST. JUST,Super Cyclone,C185,Fixed-Wing,Piston
STAMPE,SV-4,SV4,Fixed-Wing,Piston
STAR-LITE,SL-1 Star-Lite,SL1,Fixed-Wing,Piston
STAR-LITE,Star-Lite,SL1,Fixed-Wing,Piston
STARCK,AS-80 Holiday,AS80,Fixed-Wing,Piston
STARCK,Holiday,AS80,Fixed-Wing,Piston
STARFIRE,Firebolt Convertible,FIBO,Fixed-Wing,Piston
STARK,CP-301 Emeraude,CP30,Fixed-Wing,Piston
STARK,D-31 Turbulent,D31,Fixed-Wing,Piston
STARK,Emeraude,CP30,Fixed-Wing,Piston
STARK,Turbulent,D31,Fixed-Wing,Piston
STARK-TREFETHEN,Sport-Aire 2,SPA2,Fixed-Wing,Piston
STARKRAFT,SK-700,SK70,Fixed-Wing,Piston
STARPAC,Phoenix Flyer,T211,Fixed-Wing,Piston
STATLER,Firefly,STFF,Fixed-Wing,Piston
STATUS AVIA,SA-1 Status,CE27,Amphibian,Piston
STATUS AVIA,Status,CE27,Amphibian,Piston
STAUDACHER,S-300,ST30,Fixed-Wing,Piston
STAUDACHER,S-600,ST60,Fixed-Wing,Piston
STEARMAN,75 Kaydet,ST75,Fixed-Wing,Piston
STEARMAN,Kaydet,ST75,Fixed-Wing,Piston
STEARMAN,PT-13 Kaydet,ST75,Fixed-Wing,Piston
STEARMAN,PT-17 Kaydet,ST75,Fixed-Wing,Piston
STEARMAN,C-3,ST3,Fixed-Wing,Piston
STEARMAN,4 Junior Speedmail,ST4,Fixed-Wing,Piston
STEARMAN,4 Senior Speedmail,ST4,Fixed-Wing,Piston
STEARMAN,Junior Speedmail,ST4,Fixed-Wing,Piston
STEARMAN,Senior Speedmail,ST4,Fixed-Wing,Piston
STEARMAN,Speedmail,ST4,Fixed-Wing,Piston
STEARMAN,6 Cloudboy,ST6,Fixed-Wing,Piston
STEARMAN,Cloudboy,ST6,Fixed-Wing,Piston
STEARMAN,YPT-9,ST6,Fixed-Wing,Piston
STEEN,Skybolt,BOLT,Fixed-Wing,Piston
STEMME,Chrysalis,S10S,Fixed-Wing,Piston
STEMME,S-10,S10S,Fixed-Wing,Piston
STEMME,S-10 Chrysalis,S10S,Fixed-Wing,Piston
STEMME,S-12 Twin Voyager,S12S,Fixed-Wing,Piston
STEMME,Twin Voyager,S12S,Fixed-Wing,Piston
STEMME,S-15,S15S,Fixed-Wing,Piston
STEMME,S-15 Patroller,S15U,Fixed-Wing,Piston
STEMME,Patroller,S15U,Fixed-Wing,Piston
STEMME,Remos GX,GX,Fixed-Wing,Piston
STEMME,GX,GX,Fixed-Wing,Piston
STEMME,S-6,S6,Fixed-Wing,Piston
STEPHENS,Akro,AKRO,Fixed-Wing,Piston
STERN,Europlane,ST87,Fixed-Wing,Piston
STERN,ST-87 Europlane,ST87,Fixed-Wing,Piston
STERN-MALLICK,SM-01 Vega,SM01,Fixed-Wing,Piston
STERN-MALLICK,Vega,SM01,Fixed-Wing,Piston
STEWART (1),S-51D,S51D,Fixed-Wing,Piston
STEWART (2),Foo Fighter,FOOF,Fixed-Wing,Piston
STEWART (2),Headwind,HEAD,Fixed-Wing,Piston
STEWART (2),JD-1 Headwind,HEAD,Fixed-Wing,Piston
STEWART (2),JD-2 Foo Fighter,FOOF,Fixed-Wing,Piston
STEWART (2),SAC-1 Headwind,HEAD,Fixed-Wing,Piston
STINSON,10 Voyager,S10,Fixed-Wing,Piston
STINSON,105,S10,Fixed-Wing,Piston
STINSON,108 Station Wagon,S108,Fixed-Wing,Piston
STINSON,108 Voyager,S108,Fixed-Wing,Piston
STINSON,A Tri-Motor,TRMA,Fixed-Wing,Piston
STINSON,AT-19 Reliant,RELI,Fixed-Wing,Piston
STINSON,HW-75,S10,Fixed-Wing,Piston
STINSON,HW-80,S10,Fixed-Wing,Piston
STINSON,L-5 Sentinel,L5,Fixed-Wing,Piston
STINSON,OY Sentinel,L5,Fixed-Wing,Piston
STINSON,Reliant,RELI,Fixed-Wing,Piston
STINSON,Sentinel,L5,Fixed-Wing,Piston
STINSON,SM-6000 Tri-Motor,SM60,Fixed-Wing,Piston
STINSON,SR Reliant,RELI,Fixed-Wing,Piston
STINSON,Station Wagon,S108,Fixed-Wing,Piston
STINSON,T Tri-Motor,SM60,Fixed-Wing,Piston
STINSON,Tri-Motor (A),TRMA,Fixed-Wing,Piston
STINSON,Tri-Motor (SM-6000/T),SM60,Fixed-Wing,Piston
STINSON,U-19 Sentinel,L5,Fixed-Wing,Piston
STINSON,V-76 Sentinel,L5,Fixed-Wing,Piston
STINSON,V-77 Reliant,RELI,Fixed-Wing,Piston
STINSON,Voyager (10),S10,Fixed-Wing,Piston
STINSON,Voyager (108),S108,Fixed-Wing,Piston
STITS,Flut-R-Bug,SA6,Fixed-Wing,Piston
STITS,Playboy,SA3,Fixed-Wing,Piston
STITS,Playmate,SA11,Fixed-Wing,Piston
STITS,SA-3 Playboy,SA3,Fixed-Wing,Piston
STITS,SA-6 Flut-R-Bug,SA6,Fixed-Wing,Piston
STITS,SA-7 Sky-Coupe,SA7,Fixed-Wing,Piston
STITS,SA-11 Playmate,SA11,Fixed-Wing,Piston
STITS,Sky-Coupe,SA7,Fixed-Wing,Piston
STODDARD-HAMILTON,Glasair,GLAS,Fixed-Wing,Piston
STODDARD-HAMILTON,GlaStar,GLST,Fixed-Wing,Piston
STODDARD-HAMILTON,SH-4 GlaStar,GLST,Fixed-Wing,Piston
STODDARD-HAMILTON,Turbine Glasair,GLTU,Fixed-Wing,Turboprop/Turboshaft
STOLP,Acroduster,SA70,Fixed-Wing,Piston
STOLP,Acroduster Too,SA75,Fixed-Wing,Piston
STOLP,SA-100 Starduster,SA10,Fixed-Wing,Piston
STOLP,SA-300 Starduster Too,SA30,Fixed-Wing,Piston
STOLP,SA-500 Starlet,SA50,Fixed-Wing,Piston
STOLP,SA-700 Acroduster,SA70,Fixed-Wing,Piston
STOLP,SA-750 Acroduster Too,SA75,Fixed-Wing,Piston
STOLP,Starduster,SA10,Fixed-Wing,Piston
STOLP,Starduster Too,SA30,Fixed-Wing,Piston
STOLP,Starlet,SA50,Fixed-Wing,Piston
STOLP,Super Starduster,SDUS,Fixed-Wing,Piston
STORCH AVIATION,SS-4 Storch,STOR,Fixed-Wing,Piston
STORCH AVIATION,SS-4 Super Storch,STOR,Fixed-Wing,Piston
STORCH AVIATION,Storch,STOR,Fixed-Wing,Piston
STORCH AVIATION,Super Storch,STOR,Fixed-Wing,Piston
STORMAIRCRAFT,Rally,SGRA,Fixed-Wing,Piston
STORMAIRCRAFT,Storm,STRM,Fixed-Wing,Piston
STREAMLINE WELDING,10 Ultimate Competitor,UL10,Fixed-Wing,Piston
STREAMLINE WELDING,10 Ultimate Winner,UL10,Fixed-Wing,Piston
STREAMLINE WELDING,20 Ultimate Companion,UL20,Fixed-Wing,Piston
STREAMLINE WELDING,Ultimate Companion,UL20,Fixed-Wing,Piston
STREAMLINE WELDING,Ultimate Competitor,UL10,Fixed-Wing,Piston
STREAMLINE WELDING,Ultimate Winner,UL10,Fixed-Wing,Piston
STRIPLIN,Lone Ranger,STRA,Fixed-Wing,Piston
STRIPLIN,Sky Ranger,STRA,Fixed-Wing,Piston
STROJNIK,S-2,STR2,Fixed-Wing,Piston
SUD,Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD,Alouette 3,ALO3,Helicopter,Turboprop/Turboshaft
SUD,CM-170R Magister,FOUG,Fixed-Wing,Jet
SUD,Djinn,DJIN,Helicopter,Turboprop/Turboshaft
SUD,Fennec,T28,Fixed-Wing,Piston
SUD,Gazelle,GAZL,Helicopter,Turboprop/Turboshaft
SUD,GY-80 Horizon,GY80,Fixed-Wing,Piston
SUD,Horizon,GY80,Fixed-Wing,Piston
SUD,Lama,LAMA,Helicopter,Turboprop/Turboshaft
SUD,Magister,FOUG,Fixed-Wing,Jet
SUD,Puma,PUMA,Helicopter,Turboprop/Turboshaft
SUD,S-58,S58P,Helicopter,Piston
SUD,SA-315 Lama,LAMA,Helicopter,Turboprop/Turboshaft
SUD,SA-316 Alouette 3,ALO3,Helicopter,Turboprop/Turboshaft
SUD,SA-318 Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD,SA-319 Alouette 3,ALO3,Helicopter,Turboprop/Turboshaft
SUD,SA-321 Super Frelon,FREL,Helicopter,Turboprop/Turboshaft
SUD,SA-330 Puma,PUMA,Helicopter,Turboprop/Turboshaft
SUD,SA-341 Gazelle,GAZL,Helicopter,Turboprop/Turboshaft
SUD,SA-342 Gazelle,GAZL,Helicopter,Turboprop/Turboshaft
SUD,SA-3180 Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD,SE-313 Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD,SE-3130 Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD,SE-3160 Alouette 3,ALO3,Helicopter,Turboprop/Turboshaft
SUD,SO-1221 Djinn,DJIN,Helicopter,Turboprop/Turboshaft
SUD,SO-4050 Vautour,VAUT,Fixed-Wing,Jet
SUD,Super Frelon,FREL,Helicopter,Turboprop/Turboshaft
SUD,T-28 Fennec,T28,Fixed-Wing,Piston
SUD,Vautour,VAUT,Fixed-Wing,Jet
SUD-EST,Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD-EST,SE-3130 Alouette 2,ALO2,Helicopter,Turboprop/Turboshaft
SUD-OUEST,Djinn,DJIN,Helicopter,Turboprop/Turboshaft
SUD-OUEST,SO-1221 Djinn,DJIN,Helicopter,Turboprop/Turboshaft
SUDFLUG,CM-170R Magister,FOUG,Fixed-Wing,Jet
SUDFLUG,Magister,FOUG,Fixed-Wing,Jet
SUKHOI,Berkut,S37,Fixed-Wing,Jet
SUKHOI,J-11,SU27,Fixed-Wing,Jet
SUKHOI,JJ-11,SU27,Fixed-Wing,Jet
SUKHOI,S-37 Berkut,S37,Fixed-Wing,Jet
SUKHOI,Scorpion,SU25,Fixed-Wing,Jet
SUKHOI,Su-7,SU7,Fixed-Wing,Jet
SUKHOI,Su-17,SU17,Fixed-Wing,Jet
SUKHOI,Su-20,SU17,Fixed-Wing,Jet
SUKHOI,Su-22,SU17,Fixed-Wing,Jet
SUKHOI,Su-24,SU24,Fixed-Wing,Jet
SUKHOI,Su-25,SU25,Fixed-Wing,Jet
SUKHOI,Su-25 Scorpion,SU25,Fixed-Wing,Jet
SUKHOI,Su-26,SU26,Fixed-Wing,Piston
SUKHOI,Su-27,SU27,Fixed-Wing,Jet
SUKHOI,Su-28,SU25,Fixed-Wing,Jet
SUKHOI,Su-29,SU29,Fixed-Wing,Piston
SUKHOI,Su-30,SU27,Fixed-Wing,Jet
SUKHOI,Su-31,SU31,Fixed-Wing,Piston
SUKHOI,Su-32,SU27,Fixed-Wing,Jet
SUKHOI,Su-33,SU27,Fixed-Wing,Jet
SUKHOI,Su-34,SU27,Fixed-Wing,Jet
SUKHOI,Su-35,SU27,Fixed-Wing,Jet
SUKHOI,Su-37,SU27,Fixed-Wing,Jet
SUKHOI,Su-38,SU38,Fixed-Wing,Piston
SUKHOI,Su-39,SU25,Fixed-Wing,Jet
SUKHOI,Su-47 Berkut,S37,Fixed-Wing,Jet
SUKHOI,Su-80,SU80,Fixed-Wing,Turboprop/Turboshaft
SUKHOI,Superjet 100-95,SU95,Fixed-Wing,Jet
SUKHOI,T-50,SU57,Fixed-Wing,Jet
SUKHOI,Su-57,SU57,Fixed-Wing,Jet
SUMMIT,O2-337 Sentry,C337,Fixed-Wing,Piston
SUMMIT,Sentry,C337,Fixed-Wing,Piston
SUNDERLAND,S-18,T18,Fixed-Wing,Piston
SUPAPUP,Aeropup,APUP,Fixed-Wing,Piston
SUPER 18,S-18 Super 18,PA18,Fixed-Wing,Piston
SUPER 18,Super 18,PA18,Fixed-Wing,Piston
SUPER-CHIPMUNK,Super-Chipmunk,CHIP,Fixed-Wing,Piston
SUPERMARINE,Seafire,SPIT,Fixed-Wing,Piston
SUPERMARINE,Spitfire,SPIT,Fixed-Wing,Piston
SUPERMARINE,Swift,SWIF,Fixed-Wing,Jet
SUPERMARINE AIRCRAFT,Spitfire Mk25,SASP,Fixed-Wing,Piston
SUPERMARINE AIRCRAFT,Spitfire Mk26,SASP,Fixed-Wing,Piston
SWEARINGEN,800 (65),BE65,Fixed-Wing,Piston
SWEARINGEN,800 (80),BE80,Fixed-Wing,Piston
SWEARINGEN,Excalibur,BE50,Fixed-Wing,Piston
SWEARINGEN,Merlin 2,SW2,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,Merlin 3,SW3,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,Merlin 4,SW4,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,Metro,SW4,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,SA-26 Merlin 2,SW2,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,SA-226AT Merlin 4,SW4,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,SA-226T Merlin 3,SW3,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,SA-226TB Merlin 3,SW3,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,SA-226TC Metro,SW4,Fixed-Wing,Turboprop/Turboshaft
SWEARINGEN,SJ-30,SJ30,Fixed-Wing,Jet
SWEARINGEN,SX-300,SX30,Fixed-Wing,Piston
SWEARINGEN,Taurus 90,BE9L,Fixed-Wing,Turboprop/Turboshaft
SWICK,Swick-T,TAYB,Fixed-Wing,Piston
SWISS EXCELLENCE,Risen,RISN,Fixed-Wing,Piston
SYMPHONY,SA-160 Symphony,SYMP,Fixed-Wing,Piston
SYMPHONY,Symphony,SYMP,Fixed-Wing,Piston
SYNAIRGIE,Sky Ranger,SKRA,Fixed-Wing,Piston
SZD,Bocian M-2000,SZ9M,Fixed-Wing,Piston
SZD,Ogar,SZ45,Fixed-Wing,Piston
SZD,SZD-9bis Bocian M-2000,SZ9M,Fixed-Wing,Piston
SZD,SZD-45 Ogar,SZ45,Fixed-Wing,Piston
T & T AVIATION,Falcon,CORO,Fixed-Wing,Piston
TAI,AS-532 Cougar,AS32,Helicopter,Turboprop/Turboshaft
TAI,CN-235,CN35,Fixed-Wing,Turboprop/Turboshaft
TAI,CN-235 Persuader,CN35,Fixed-Wing,Turboprop/Turboshaft
TAI,F-16 Fighting Falcon,F16,Fixed-Wing,Jet
TAI,SF-260,F260,Fixed-Wing,Piston
TAI,ZIU,ZIU,Fixed-Wing,Piston
TAI,T-129,A129,Helicopter,Turboprop/Turboshaft
TAI,Cougar,AS32,Helicopter,Turboprop/Turboshaft
TAI,Persuader,CN35,Fixed-Wing,Turboprop/Turboshaft
TAI,Fighting Falcon,F16,Fixed-Wing,Jet
TAI,Hürku?,HURK,Fixed-Wing,Turboprop/Turboshaft
TAI,KT-1,KT1,Fixed-Wing,Turboprop/Turboshaft
TAI,TT-32 Hürku?,HURK,Fixed-Wing,Turboprop/Turboshaft
TAI,Anka,ANKA,Fixed-Wing,Piston
TAIFUN,DMZ-2 Osa,DUB2,Fixed-Wing,Piston
TAIFUN,Osa,DUB2,Fixed-Wing,Piston
TAIWAN DANCER,TD-1,TD1,Fixed-Wing,Piston
TAIWAN DANCER,TD-3 Alluvion Legend,TD3,Fixed-Wing,Piston
TAIWAN DANCER,Alluvion Legend,TD3,Fixed-Wing,Piston
TAM,TAM-Jet,TJET,Fixed-Wing,Jet
TAMARIND,Commuter,COMU,Helicopter,Piston
TAMARIND,H-1 Commuter,COMU,Helicopter,Piston
TANEJA,AP-68TP-600 Viator,VTOR,Fixed-Wing,Turboprop/Turboshaft
TANEJA,Hansa,NAL2,Fixed-Wing,Piston
TANEJA,NALLA-2 Hansa,NAL2,Fixed-Wing,Piston
TANEJA,Observer,P68,Fixed-Wing,Piston
TANEJA,P-68,P68,Fixed-Wing,Piston
TANEJA,P-68 Observer,P68,Fixed-Wing,Piston
TANEJA,T-211,T211,Fixed-Wing,Piston
TANEJA,Viator,VTOR,Fixed-Wing,Turboprop/Turboshaft
TAPANEE,Levitation 4,LEVI,Fixed-Wing,Piston
TAPANEE,Pegazair,PEGZ,Fixed-Wing,Piston
TAYLOR (1),Cub (E-2),E2CB,Fixed-Wing,Piston
TAYLOR (1),Cub (J-2),J2,Fixed-Wing,Piston
TAYLOR (1),E-2 Cub,E2CB,Fixed-Wing,Piston
TAYLOR (1),J-2 Cub,J2,Fixed-Wing,Piston
TAYLOR (2),Coot,COOT,Amphibian,Piston
TAYLOR (2),Mini-Imp,MIMP,Fixed-Wing,Piston
TAYLOR (2),Super Coot,COOT,Amphibian,Piston
TAYLOR (3),Bird,BIRD,Fixed-Wing,Piston
TAYLOR (3),TA-2 Bird,BIRD,Fixed-Wing,Piston
TAYLOR (3),TA-3 Bird,BIRD,Fixed-Wing,Piston
TAYLOR (4),JT-2 Titch,JT2,Fixed-Wing,Piston
TAYLOR (4),Titch,JT2,Fixed-Wing,Piston
TAYLOR KITS,T-Kraft,TF21,Fixed-Wing,Piston
TAYLOR-YOUNG,A,TAYA,Fixed-Wing,Piston
TAYLOR-YOUNG,BC,TAYB,Fixed-Wing,Piston
TAYLOR-YOUNG,BF,TAYB,Fixed-Wing,Piston
TAYLOR-YOUNG,BL,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),15 Foursome,TA15,Fixed-Wing,Piston
TAYLORCRAFT (1),15 Tourist,TA15,Fixed-Wing,Piston
TAYLORCRAFT (1),19 Sportsman,TF19,Fixed-Wing,Piston
TAYLORCRAFT (1),20 Ranchwagon,TA20,Fixed-Wing,Piston
TAYLORCRAFT (1),20 Seabird,TA20,Fixed-Wing,Piston
TAYLORCRAFT (1),20 Topper,TA20,Fixed-Wing,Piston
TAYLORCRAFT (1),20 Zephyr 400,TA20,Fixed-Wing,Piston
TAYLORCRAFT (1),A,TAYA,Fixed-Wing,Piston
TAYLORCRAFT (1),Ace,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BC,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BC Ace,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BC Sportsman,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BC Traveller,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BC Twosome,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BF,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),BL,TAYB,Fixed-Wing,Piston
TAYLORCRAFT (1),Classic,TF22,Fixed-Wing,Piston
TAYLORCRAFT (1),DC,TAYD,Fixed-Wing,Piston
TAYLORCRAFT (1),DCO,TAYD,Fixed-Wing,Piston
TAYLORCRAFT (1),DF,TAYD,Fixed-Wing,Piston
TAYLORCRAFT (1),DL,TAYD,Fixed-Wing,Piston
